cluster,names,scores,logfoldchanges,pvals,pvals_adj
18,ENSMUSG00000070392,7.199942,3.0715759,6.023817865044898e-13,1.4412258052022875e-09
18,ENSMUSG00000028656,7.181119,2.542646,6.91431679628958e-13,1.5823564299543406e-09
18,ENSMUSG00000064220,7.1712246,3.1866071,7.432975311801453e-13,1.6301753687999221e-09
18,ENSMUSG00000037747,7.1468515,3.33169,8.879096357618812e-13,1.869440463518495e-09
18,ENSMUSG00000078851,7.1072745,2.7831585,1.1835679325617435e-12,2.3727638748968464e-09
18,ENSMUSG00000078670,7.1034136,2.6961796,1.2171256292692237e-12,2.3727638748968464e-09
18,ENSMUSG00000026255,7.085073,3.059728,1.3897097245645366e-12,2.557776528963311e-09
18,ENSMUSG00000096210,7.0831423,2.8343663,1.4092164932733494e-12,2.557776528963311e-09
18,ENSMUSG00000031465,6.8297553,3.494621,8.50597109923985e-12,1.4924009825986294e-08
18,ENSMUSG00000032068,6.824567,2.8433702,8.819109378656732e-12,1.4974278750160507e-08
18,ENSMUSG00000021376,6.8135867,3.046841,9.519502346923312e-12,1.5658391422895482e-08
18,ENSMUSG00000034981,6.788248,2.591216,1.1350354789211908e-11,1.810415983893812e-08
18,ENSMUSG00000024098,6.770028,2.2348096,1.2875740260619125e-11,1.9933160716410245e-08
18,ENSMUSG00000026576,6.7534976,3.2753136,1.4432292248901852e-11,2.170451813751994e-08
18,ENSMUSG00000023010,6.734433,1.645963,1.6457020183401538e-11,2.4061992065931203e-08
18,ENSMUSG00000079042,6.7072845,3.2476819,1.98279406481409e-11,2.8207121187987688e-08
18,ENSMUSG00000020990,6.6987176,2.6598315,2.1025641477034524e-11,2.912383328382077e-08
18,ENSMUSG00000020577,6.6731377,2.2992306,2.50391459476516e-11,3.319381294685939e-08
18,ENSMUSG00000027315,6.6720514,2.3413157,2.522517892458347e-11,3.319381294685939e-08
18,ENSMUSG00000044645,6.6584167,3.1158564,2.7679257425671e-11,3.553476570384436e-08
18,ENSMUSG00000033998,6.644541,2.5074544,3.0416343771323625e-11,3.811892073208072e-08
18,ENSMUSG00000038721,6.6095495,2.309307,3.854915475649211e-11,4.718775138983067e-08
18,ENSMUSG00000048424,6.60605,3.433865,3.9470896333229465e-11,4.72179568044515e-08
18,ENSMUSG00000016559,6.566715,1.6289536,5.143740271439914e-11,5.8857807158154635e-08
18,ENSMUSG00000066058,6.5352225,2.6142135,6.35150684639096e-11,7.113147114183714e-08
18,ENSMUSG00000045319,6.473082,2.430335,9.602367461642249e-11,1.0529796118979196e-07
18,ENSMUSG00000064181,6.464877,2.2081366,1.0138104968478374e-10,1.0819778120359981e-07
18,ENSMUSG00000059436,6.46174,2.0689757,1.0350575886987807e-10,1.0819778120359981e-07
18,ENSMUSG00000071076,6.4598093,2.3332934,1.0483484385940404e-10,1.0819778120359981e-07
18,ENSMUSG00000036528,6.413838,2.510302,1.4190116122075485e-10,1.436367215772241e-07
18,ENSMUSG00000053559,6.331909,1.9954073,2.421459208807597e-10,2.3602949428666048e-07
18,ENSMUSG00000031667,6.3051224,2.0333962,2.879659104359137e-10,2.6716467317737895e-07
18,ENSMUSG00000021379,6.3043985,2.6096878,2.8931503858786003e-10,2.6716467317737895e-07
18,ENSMUSG00000046432,6.2663903,1.9862658,3.6951300216036014e-10,3.3533942037435717e-07
18,ENSMUSG00000029273,6.2602367,2.459169,3.8439330358172097e-10,3.429309479208045e-07
18,ENSMUSG00000021286,6.2410517,2.1885788,4.3463836620811705e-10,3.812937507288408e-07
18,ENSMUSG00000000938,6.2376733,2.1499774,4.44127065660158e-10,3.83230692263739e-07
18,ENSMUSG00000028716,6.234898,2.4374254,4.520723470293598e-10,3.8379483964899003e-07
