source,target,ligand_complex,receptor_complex,magnitude_rank_ctrl,magnitude_rank_neph,delta_rank_ctrl_minus_neph
PEC,SMC,Cxcl10,Sdc4,0.5059421193197111,0.2561310732853834,0.2498110460343277
PEC,TEC,Cp,Slc40a1,0.5456064239642743,0.29891180087781255,0.24669462308646173
PEC,IMM,Thbs1,Lrp1,0.5980342730779762,0.3521837097452598,0.24585056333271638
PEC,MES,Tgm2,Itga4,0.4235792575498706,0.1780415157209177,0.24553774182895288
MES,PEC,Adm,Ackr3,0.8826475300577177,0.6371893157518451,0.24545821430587256
PEC,IMM,Plau,Itgam,0.2552071701950043,0.01046530264028651,0.24474186755471777
TEC,PEC,Egf,Axl,0.48618807030728073,0.24494439550638591,0.24124367480089481
END,PEC,Ada,Dpp4,0.8321840932575884,0.5928365993513633,0.239347493906225
IMM,PEC,Cxcl10,Sdc4,0.43392747743954,0.19950967352741178,0.23441780391212824
PEC,MES,Cd14,Itga4,0.66139334673045,0.4272002996927717,0.23419304703767835
POD,PEC,Ntrk3,Ptprf,0.2709511619723992,0.036875170697953104,0.23407599127444612
PEC,SMC,Ptn,Sdc2,0.7290763161247791,0.49533807342901237,0.2337382426957667
SMC,PEC,Pam,Dpp4,0.9894274841540742,0.7584772260812416,0.23095025807283265
MES,PEC,Apoe,Sorl1,0.3308037904498201,0.11047181972780754,0.22033197072201258
PEC,IMM,Thbs1,Sdc4,0.47131540995864485,0.25237887484686217,0.21893653511178268
PEC,MES,Thbs1,Itga4,0.2887193000163315,0.0749728560800231,0.2137464439363084
PEC,TEC,Apoe,Sorl1,0.35715233906917154,0.14368745580700454,0.213464883262167
PEC,POD,Jag1,Notch2,0.8651270082176107,0.6537247103025834,0.2114022979150273
PEC,END,Thbs1,Sdc4,0.5944388895968634,0.38417111589485076,0.21026777370201266
POD,PEC,Rarres2,Ccrl2,1.0,0.7901829059346986,0.20981709406530136
PEC,END,Thbs1,Itga6,0.564458182546898,0.358637229637789,0.20582095290910896
SMC,PEC,Cxcl12,Dpp4,0.8618025312437426,0.6586227580481515,0.2031797731955911
PEC,IMM,Serping1,Lrp1,1.0,0.7982679575811987,0.20173204241880127
PEC,SMC,Edn3,Ednra,0.27254710895598433,0.07102708312670261,0.20152002582928172
PEC,PEC,Cxcl12,Sdc4,0.501123660137664,0.30159166204307103,0.19953199809459293
PEC,MES,Thbs1,Lrp1,0.28382723565229095,0.08469034118690028,0.19913689446539068
TEC,PEC,Spint1,St14,0.19488535151246217,0.0009228610221597459,0.19396249049030242
SMC,PEC,Pdgfc,Pdgfrb,1.0,0.8092081196485283,0.19079188035147165
PEC,SMC,Ptn,Sdc4,0.6180682822650051,0.4279707833705755,0.19009749889442962
IMM,PEC,Cxcl1,Dpp4,0.7677976750270814,0.5792334043880237,0.18856427063905767
SMC,PEC,Adm,Ackr3,0.7241727794236055,0.536627818058424,0.1875449613651815
PEC,MES,Cxcl12,Itga4,0.7282102908176717,0.5433430438791392,0.18486724693853251
SMC,PEC,Cxcl12,Ackr3,1.0,0.8171257895217632,0.18287421047823682
PEC,POD,Adm,Ackr3,1.0,0.8177802861433254,0.18221971385667457
PEC,TEC,Plau,St14,0.1852895607234794,0.008832732563462458,0.17645682816001695
PEC,MES,Icam1,Spn,0.9133524240243724,0.7407606266260414,0.17259179739833108
MES,PEC,Cxcl10,Sdc4,0.4152922423470511,0.24310043598246917,0.17219180636458192
PEC,TEC,Adm,Pth1r,1.0,0.833073845689833,0.166926154310167
PEC,TEC,Spint1,St14,0.1667351802254811,7.222572652791008e-05,0.1666629544989532
END,PEC,Serpine1,Lrp1,1.0,0.8339792759984213,0.16602072400157875
PEC,IMM,Rarres2,Ccrl2,0.7838402683064403,0.6236591473355124,0.16018112097092785
PEC,IMM,Lgals1,Ptprc,0.15778160675492747,0.0030197503306217937,0.15476185642430568
PEC,TEC,Cxcl12,Sdc4,0.6671893550228762,0.5125349486525927,0.1546544063702835
PEC,SMC,Cxcl12,Ackr3,1.0,0.8467256532984635,0.1532743467015365
MES,PEC,Adm,Pth1r,1.0,0.8467256532984635,0.1532743467015365
PEC,PEC,Cxcl12,Ackr3,1.0,0.8476409466831637,0.1523590533168363
POD,PEC,Egf,Cav1,0.7477342295317477,0.5963649286303171,0.15136930090143064
END,PEC,Ptn,Sdc4,0.698674011268253,0.5475550952063301,0.15111891606192296
TEC,PEC,Plau,Itgb5,0.7270225831915926,0.5806554635467396,0.14636711964485305
END,PEC,Serpine1,Itgb5,1.0,0.8540671725275097,0.14593282747249026
PEC,POD,Ptn,Sdc2,0.37880357806900067,0.2345731817410795,0.14423039632792117
PEC,IMM,Cxcl12,Itga4,0.8322665013152908,0.6884723729508655,0.1437941283644253
PEC,POD,Cxcl10,Sdc4,0.1976655191874635,0.05624343923044477,0.14142207995701872
TEC,PEC,Spp1,S1pr1,0.6009187609337469,0.46080024332121494,0.1401185176125319
SMC,PEC,Serpine1,Itgb5,1.0,0.8605255627076218,0.13947443729237818
PEC,POD,Cxcl10,Dpp4,0.19212225237783287,0.05341891881602787,0.138703333561805
PEC,MES,Col4a4,Sdc1,0.6887309925668809,0.553471080633829,0.13525991193305187
END,PEC,Dll4,Notch2,0.640428593186098,0.507144652690861,0.13328394049523706
PEC,MES,Plau,Lrp1,0.24595086307697728,0.1139677394004279,0.13198312367654938
PEC,SMC,Cxcl12,Sdc4,0.4531121629627636,0.3233795084323018,0.1297326545304618
IMM,PEC,F10,F3,0.15778160675492747,0.030170444484603945,0.12761116227032354
MES,PEC,Apoe,Sdc2,0.32563145673320737,0.2006390827297614,0.12499237400344598
SMC,PEC,Mdk,Sorl1,0.6329163188043616,0.5100653037019618,0.12285101510239982
POD,PEC,Cxcl12,Ackr3,0.5107913672439081,0.39084761332160545,0.11994375392230261
PEC,IMM,Angptl2,Pirb,0.6871704281554496,0.5679307760978033,0.1192396520576463
PEC,SMC,Thbs1,Lrp1,0.518942132861967,0.4005701299070673,0.11837200295489969
PEC,IMM,Plau,Plaur,0.25988904774676075,0.14368745580700454,0.11620159193975621
MES,PEC,Dll4,Notch2,1.0,0.8876292831988941,0.11237071680110589
POD,PEC,Col1a2,Itga2b,0.3052732152344811,0.19446149556135967,0.11081171967312142
PEC,TEC,Thbs1,Itga6,0.4516167459962416,0.34365157981967587,0.10796516617656571
IMM,PEC,C3,Lrp1,0.5558362707403371,0.44904882324340134,0.1067874474969358
PEC,POD,Cxcl12,Sdc4,0.23533453625404024,0.13077309957091174,0.1045614366831285
PEC,POD,Cxcl12,Dpp4,0.23233776495822206,0.12844142086474183,0.10389634409348023
PEC,IMM,Col4a5,Cd44,0.11856393963808345,0.014965340911255526,0.10359859872682793
MES,PEC,Jag1,Notch2,1.0,0.9018689214095432,0.09813107859045678
MES,PEC,Rarres2,Ccrl2,0.6139383579830228,0.5215836116174744,0.09235474636554841
SMC,PEC,Col1a2,Itga2b,0.4931610479438536,0.4035802214422439,0.0895808265016097
PEC,PEC,Spp1,S1pr1,0.46063878288119225,0.37168281583576795,0.0889559670454243
SMC,PEC,Apoe,Sdc2,1.0,0.9115234968168021,0.08847650318319789
PEC,PEC,Cxcl10,Dpp4,0.8364319310519439,0.7483192791904982,0.08811265186144568
MES,PEC,Serping1,Lrp1,0.5998373886194286,0.5235735240584982,0.07626386456093037
PEC,IMM,Gpc3,Lrp1,1.0,0.9278827904558977,0.07211720954410228
PEC,SMC,Csf1,Sirpa,1.0,0.9327544452399913,0.06724555476000871
PEC,IMM,Col4a3,Cd44,0.11967830634080379,0.05560986430403283,0.06406844203677095
PEC,SMC,Adm,Ramp1,0.6769244462129131,0.6140074181155104,0.06291702809740274
PEC,IMM,Col4a4,Cd44,0.075198171416343,0.012695391696270871,0.06250277972007212
PEC,END,Ptn,Sdc4,1.0,0.9396034149684271,0.06039658503157286
MES,PEC,Ptn,Sdc2,0.10346066731781892,0.043369779720024926,0.06009088759779399
PEC,SMC,Cxcl12,Dpp4,0.8827925191737106,0.8248048178878362,0.05798770128587438
PEC,POD,Tgm2,Sdc4,0.07162739060364366,0.013646018599389948,0.05798137200425371
PEC,IMM,Col4a4,Cd93,1.0,0.9452332842546325,0.05476671574536751
SMC,PEC,Ptn,Sdc2,1.0,0.9462293035478992,0.05377069645210075
SMC,PEC,Gas6,Axl,0.8710237120228262,0.8177802861433254,0.053243425879500816
PEC,IMM,Csf1,Sirpa,0.698674011268253,0.6470816509837158,0.051592360284537175
PEC,SMC,Gas6,Axl,0.3806303754327651,0.33031393406146514,0.05031644137129998
PEC,MES,Ptn,Sdc4,0.5490023016334682,0.5006704963428467,0.04833180529062153
PEC,MES,Apoe,Lrp1,0.607416809402114,0.5611100448002546,0.04630676460185934
PEC,MES,Hspg2,Lrp1,0.5310473216534388,0.4864156315139617,0.0446316901394771
PEC,TEC,Pam,Dpp4,1.0,0.9553837089474154,0.04461629105258458
PEC,IMM,Csf1,Csf3r,0.6125607806423974,0.5693443018283246,0.043216478814072756
TEC,PEC,Kng2,Sdc2,0.052678174476843934,0.010894528003327715,0.04178364647351622
PEC,IMM,Cxcl10,Sdc4,1.0,0.9593560723026324,0.04064392769736758
MES,PEC,Serpine2,Lrp1,0.7903301672432093,0.7545664476330217,0.03576371961018754
SMC,PEC,Adm,Ramp3,0.8151371422176488,0.7799343729135165,0.03520276930413224
PEC,PEC,Apoe,Sdc2,1.0,0.9653353651970307,0.03466463480296933
PEC,PEC,Pam,Dpp4,1.0,0.9653353651970307,0.03466463480296933
END,PEC,Pam,Dpp4,1.0,0.967334053917858,0.03266594608214202
PEC,IMM,Jag1,Notch2,0.6624625778158493,0.6305711678280433,0.03189140998780593
PEC,PEC,Plau,Itgb5,0.41812376802979156,0.3863916237060691,0.031732144323722455
SMC,PEC,Ltbp1,Itgb5,0.5355028698599702,0.5045484328513574,0.03095443700861278
TEC,PEC,Cdh1,Ptprf,0.029168809868838755,0.00016235401239770395,0.02900645585644105
PEC,MES,Efna1,Epha3,0.22197791292832683,0.19557847815783747,0.026399434770489366
PEC,PEC,Jag1,Notch2,0.6089073495996827,0.584243815458025,0.024663534141657784
TEC,PEC,Pam,Dpp4,1.0,0.97837579120223,0.02162420879777005
TEC,PEC,Thbs1,Lrp1,0.9978025149001588,0.9763621703458936,0.021440344554265245
PEC,POD,Thbs1,Sdc4,0.02472532591189417,0.003582073999388776,0.021143251912505396
IMM,PEC,Sema4d,Met,0.021127524415136583,4.064621187378515e-05,0.0210868782032628
PEC,POD,Plau,Itgb5,0.033962555357215686,0.013970305037947793,0.019992250319267893
PEC,IMM,Lamc2,Cd44,0.016462875583018927,0.0007212915069194073,0.01574158407609952
SMC,PEC,Serpine1,Lrp1,0.8406742161232497,0.8267534947424067,0.013920721380842993
MES,PEC,Apoe,Lrp1,0.5490023016334682,0.5383211938470784,0.010681107786389754
PEC,IMM,Spp1,Cd44,0.00983455498663157,8.035214062409805e-06,0.00982651977256916
PEC,MES,Serpine2,Lrp1,0.5784379303044401,0.5704958875309107,0.00794204277352939
MES,PEC,Ptn,Sdc4,0.011245255480729133,0.004561164064204837,0.006684091416524296
PEC,IMM,Icam1,Spn,0.7168117518250242,0.7110345872882946,0.0057771645367296065
IMM,PEC,Icam1,Cav1,0.6499022270124774,0.6465714467823215,0.003330780230155872
PEC,SMC,Serping1,Lrp1,1.0,0.9976452470185788,0.002354752981421182
PEC,MES,Plau,Itgb5,0.44863563889048175,0.4474023541125396,0.0012332847779421563
PEC,IMM,Hbegf,Cd44,0.0020715849554683564,0.0008805759622886331,0.0011910089931797233
MES,PEC,Serpine1,Lrp1,1.0,1.0,0.0
PEC,TEC,Gas6,Axl,1.0,1.0,0.0
PEC,PEC,Hspg2,Lrp1,1.0,1.0,0.0
PEC,PEC,Serping1,Lrp1,1.0,1.0,0.0
PEC,MES,Pam,Dpp4,1.0,1.0,0.0
PEC,TEC,Cxcl12,Ackr3,1.0,1.0,0.0
PEC,PEC,Adm,Calcrl,1.0,1.0,0.0
END,PEC,Insl3,Pth1r,1.0,1.0,0.0
SMC,PEC,Thbs1,Lrp1,1.0,1.0,0.0
END,PEC,Insl3,Ramp3,1.0,1.0,0.0
TEC,PEC,Adm,Calcrl,1.0,1.0,0.0
MES,PEC,Plau,Lrp1,1.0,1.0,0.0
PEC,IMM,Adm,Ramp3,1.0,1.0,0.0
MES,PEC,Gas6,Axl,1.0,1.0,0.0
SMC,PEC,Hspg2,Lrp1,1.0,1.0,0.0
POD,PEC,Calca,Ramp3,1.0,1.0,0.0
END,PEC,Adm,Ramp3,1.0,1.0,0.0
END,PEC,Adm,Ackr3,1.0,1.0,0.0
PEC,SMC,Gpc3,Lrp1,1.0,1.0,0.0
